HOUR,DEPOSITS,WITHDRAWALS
2021-05-12T00:00:00Z,2701247.7422356945,-2322498.783746919
2021-05-11T23:00:00Z,5315668.459475504,-2513556.0228090673
2021-05-11T22:00:00Z,6558258.687020418,-3492044.176158108
2021-05-11T21:00:00Z,53876236.73667995,-1780569.9383137575
2021-05-11T20:00:00Z,2306094.50665728,-4506999.328429485
2021-05-11T19:00:00Z,1874064.958818567,-2218976.680721807
2021-05-11T18:00:00Z,2260634.989984231,-1099470.9857134174
2021-05-11T17:00:00Z,14529964.16420144,-1610851.2812413229
2021-05-11T16:00:00Z,2636920.0105475546,-2689272.557596151
2021-05-11T15:00:00Z,16134115.178491687,-4556676.72717491
2021-05-11T14:00:00Z,5140854.051417285,-2167136.5140865487
2021-05-11T13:00:00Z,2304460.0221265885,-332879.4446377497
2021-05-11T12:00:00Z,952775.8585243409,-8117386.468733951
2021-05-11T11:00:00Z,6074133.3359182095,-1151664.6814629312
2021-05-11T10:00:00Z,6043359.586864236,-3424078.8062454048
2021-05-11T09:00:00Z,5723060.895037343,-6286750.950703121
2021-05-11T08:00:00Z,2062810.7622313176,-1165845.7896705326
2021-05-11T07:00:00Z,16795769.249118272,-1005366.8178370236
2021-05-11T06:00:00Z,1417280.9916323053,-251132.80895794794
2021-05-11T05:00:00Z,6243720.450274615,-213040.06946071557
2021-05-11T04:00:00Z,2434837.3084183857,-767338.4063063017
2021-05-11T03:00:00Z,4360881.114291861,-3757381.4618889876
2021-05-11T02:00:00Z,1940224.3378574066,-1352330.991201525
2021-05-11T01:00:00Z,5778913.78084869,-2158525.5557225915
2021-05-11T00:00:00Z,1766824.0833970613,-315727.7928595501
2021-05-10T23:00:00Z,4283161.788414448,-7765701.8726929985
2021-05-10T22:00:00Z,4261967.464395028,-5631224.047484051
2021-05-10T21:00:00Z,13158348.831323758,-13288428.428450964
2021-05-10T20:00:00Z,10463852.348693289,-6368361.243562484
2021-05-10T19:00:00Z,719435.6067767512,-466866.4376960443
2021-05-10T18:00:00Z,5890682.438306115,-4916055.614258727
2021-05-10T17:00:00Z,5149765.72759982,-1232859.0450332607
2021-05-10T16:00:00Z,13534708.883077003,-5713469.584018938
2021-05-10T15:00:00Z,4232993.747160525,-6203001.147798639
2021-05-10T14:00:00Z,990920.7043552296,-3767500.2654007566
2021-05-10T13:00:00Z,176241.9241434342,-289681.63000938686
2021-05-10T12:00:00Z,4298763.036730578,-3134708.3014968215
2021-05-10T11:00:00Z,5001712.868398044,-3163128.083906059
2021-05-10T10:00:00Z,3061028.752625247,-4758112.170233237
2021-05-10T09:00:00Z,5652313.737182754,-4683595.038129744
2021-05-10T08:00:00Z,5445084.880875805,-2026066.0221541994
2021-05-10T07:00:00Z,7368607.267912739,-7185712.9236827
2021-05-10T06:00:00Z,14155387.643397786,-13429635.159374285
2021-05-10T05:00:00Z,10624642.985229852,-12066743.088712573
2021-05-10T04:00:00Z,5431753.2406598935,-3894391.6320524514
2021-05-10T03:00:00Z,4748685.74388988,-5165073.111346789
2021-05-10T02:00:00Z,20332336.214944966,-35465300.03289404
2021-05-10T01:00:00Z,1910361.695307078,-1624172.5041293749
2021-05-10T00:00:00Z,3216120.3661394836,-265694.8632639949
2021-05-09T23:00:00Z,2849843.2870972245,-1571966.0598038032
2021-05-09T22:00:00Z,2726632.838500222,-4293909.08152433
2021-05-09T21:00:00Z,7583462.168029299,-1051046.3180443053
2021-05-09T20:00:00Z,14148742.72498723,-3354510.846278574
2021-05-09T19:00:00Z,2661056.8118584217,-1374756.3906311104
2021-05-09T18:00:00Z,35434410.021849446,-17241946.299689006
2021-05-09T17:00:00Z,14865497.303241309,-3193303.504217963
2021-05-09T16:00:00Z,3125129.7711158292,-13570289.786230098
2021-05-09T15:00:00Z,4099380.5636293013,-2887658.0096490774
2021-05-09T14:00:00Z,1978526.035292759,-600242.8594617952
2021-05-09T13:00:00Z,1948270.7337766902,-2110171.630214149
2021-05-09T12:00:00Z,19581824.44232796,-15886570.30987525
2021-05-09T11:00:00Z,19202266.367527235,-7736105.83326228
2021-05-09T10:00:00Z,3952261.4590613996,-3588153.888128574
2021-05-09T09:00:00Z,5555284.514123781,-2666872.2143553044
2021-05-09T08:00:00Z,7449583.749156975,-9216547.000186129
2021-05-09T07:00:00Z,8807557.979941383,-8536240.075938595
2021-05-09T06:00:00Z,6438676.731734461,-3020826.235161297
2021-05-09T05:00:00Z,4709582.631621109,-1805315.208788777
2021-05-09T04:00:00Z,13324844.032943798,-198267.63045400614
2021-05-09T03:00:00Z,4676679.07411863,-28817618.41738076
2021-05-09T02:00:00Z,3939034.6048083366,-3521559.1598050944
2021-05-09T01:00:00Z,4574244.130009401,-6730470.886414285
2021-05-09T00:00:00Z,2648784.9820576045,-2183912.2085359097
2021-05-08T23:00:00Z,15965475.026124138,-14377663.569832603
2021-05-08T22:00:00Z,3538285.2226232197,-2763521.3981851414
2021-05-08T21:00:00Z,15530626.624250261,-4847172.806082261
2021-05-08T20:00:00Z,19515725.00994629,-16147463.410209907
2021-05-08T19:00:00Z,17892481.273894876,-3012681.512058935
2021-05-08T18:00:00Z,12541833.553482391,-18266636.329758264
2021-05-08T17:00:00Z,27571642.81402536,-37273158.33868813
2021-05-08T16:00:00Z,4319617.186775908,-16176158.344735602
2021-05-08T15:00:00Z,4967223.142529278,-6587997.397420567
2021-05-08T14:00:00Z,4180725.963175933,-13308317.29712932
2021-05-08T13:00:00Z,1492979.8547860757,-2471753.130625478
2021-05-08T12:00:00Z,1972160.0442225637,-1384121.629902906
2021-05-08T11:00:00Z,2384663.1749609425,-11644230.036330687
2021-05-08T10:00:00Z,15001643.589775128,-5315896.9369894
2021-05-08T09:00:00Z,22479107.26476653,-6033413.552742809
2021-05-08T08:00:00Z,7995245.364393777,-11467183.028701287
2021-05-08T07:00:00Z,11210373.077705177,-7111754.627076579
2021-05-08T06:00:00Z,2256646.4714113446,-10221799.22206642
